City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ostrovnoy,68.0531,39.5131,39.4,93,100,10.02,RU,1655781480
Mahébourg,-20.4081,57.7,68.29,56,20,5.75,MU,1655781480
Qaanaaq,77.484,-69.3632,36.54,85,96,3.65,GL,1655781481
Zhuhai,22.2769,113.5678,87.85,89,40,10.36,CN,1655781482
Cape Town,-33.9258,18.4232,59.38,81,0,11.01,ZA,1655781401
Atuona,-9.8,-139.0333,77.92,78,20,22.7,PF,1655781483
Flinders,-34.5833,150.8552,62.38,63,97,3.91,AU,1655781484
Opuwo,-18.0607,13.84,36.68,57,0,2.19,NA,1655781484
Tiksi,71.6872,128.8694,43.63,52,35,6.85,RU,1655781485
Pushkinskiye Gory,57.0209,28.9103,52.52,81,100,4.92,RU,1655781486
Aykhal,66.0,111.5,62.55,31,10,7.65,RU,1655781487
Castro,-24.7911,-50.0119,54.95,95,86,3.0,BR,1655781488
Avarua,-21.2078,-159.775,82.45,78,20,6.91,CK,1655781488
Saskylakh,71.9167,114.0833,58.89,42,99,0.85,RU,1655781489
Constitución,-35.3333,-72.4167,50.49,82,100,7.38,CL,1655781490
Albany,42.6001,-73.9662,61.21,70,100,5.01,US,1655781401
Vilyuysk,63.7553,121.6247,61.05,39,100,8.77,RU,1655781491
Ushuaia,-54.8,-68.3,33.46,86,75,23.02,AR,1655781195
Bambous Virieux,-20.3428,57.7575,68.25,56,20,5.75,MU,1655781493
Kodinsk,58.6881,99.1844,70.43,39,1,7.49,RU,1655781493
Teknāf,20.8624,92.3058,76.87,94,100,5.86,BD,1655781494
Busselton,-33.65,115.3333,63.79,69,100,14.99,AU,1655781495
Ambon City,-3.6954,128.1814,87.94,62,20,4.61,ID,1655781496
Maragogi,-9.0122,-35.2225,74.95,86,31,8.41,BR,1655781497
Fallon,39.4735,-118.7774,71.47,17,0,8.05,US,1655781497
Kantang,7.4054,99.5156,85.98,99,40,6.91,TH,1655781498
Colonelganj,27.1333,81.7,93.61,40,5,8.81,IN,1655781499
Punta Arenas,-53.15,-70.9167,30.31,80,20,8.05,CL,1655781501
Rikitea,-23.1203,-134.9692,71.35,60,57,12.8,PF,1655781502
New Norfolk,-42.7826,147.0587,58.91,76,100,1.99,AU,1655781502
Gobabis,-22.45,18.9667,41.09,62,90,7.96,NA,1655781503
Qingdao,36.0986,120.3719,78.4,78,0,13.42,CN,1655781504
Port Hardy,50.6996,-127.4199,57.38,88,100,2.3,CA,1655781442
Arman',59.7,150.1667,61.02,80,100,6.51,RU,1655781505
Mamakan,57.8161,114.0028,60.01,88,100,4.76,RU,1655781506
Bethel,41.3712,-73.414,65.48,74,0,4.61,US,1655781507
Charter Township of Clinton,42.587,-82.9199,77.9,78,0,0.0,US,1655780928
Varhaug,58.6147,5.6457,51.85,78,99,8.5,NO,1655781508
Ayan,56.45,138.1667,50.45,79,27,3.62,RU,1655781509
Mayor Pablo Lagerenza,-19.9309,-60.7718,72.07,53,0,7.09,PY,1655781509
Hermanus,-34.4187,19.2345,51.8,81,70,7.23,ZA,1655781510
Torbay,47.6666,-52.7314,57.97,95,100,18.41,CA,1655781511
Yellowknife,62.456,-114.3525,70.32,30,20,6.91,CA,1655781342
Kruisfontein,-34.0033,24.7314,51.89,83,59,5.59,ZA,1655781512
Puerto Ayora,-0.7393,-90.3518,69.55,98,63,5.99,EC,1655781429
Rosita,13.9268,-84.4032,73.4,99,100,1.66,NI,1655781513
Beloha,-25.1667,45.05,65.66,62,53,9.55,MG,1655781514
Port Elizabeth,-33.918,25.5701,57.31,95,0,5.75,ZA,1655781515
Port Alfred,-33.5906,26.891,60.19,84,8,1.99,ZA,1655781515
Garchitorena,13.8804,123.6946,87.35,65,42,5.91,PH,1655781516
Saint Paul Harbor,57.79,-152.4072,56.71,67,20,6.91,US,1655781517
Mar del Plata,-38.0023,-57.5575,48.09,83,0,0.0,AR,1655781517
Tāybād,34.74,60.7756,73.44,23,0,21.36,IR,1655781518
Cabo San Lucas,22.8909,-109.9124,82.62,76,97,4.0,MX,1655780719
Tiarei,-17.5333,-149.3333,80.62,74,68,12.86,PF,1655781519
Khatanga,71.9667,102.5,53.8,60,100,10.36,RU,1655781520
Pisco,-13.7,-76.2167,59.05,82,12,0.0,PE,1655781521
Kolyvan',55.3053,82.7391,69.42,72,3,5.48,RU,1655781521
Hofn,64.2539,-15.2082,44.26,71,100,2.26,IS,1655781522
Bontang,0.1333,117.5,85.57,64,62,2.21,ID,1655781523
Sault Ste. Marie,46.5168,-84.3333,61.36,93,0,6.91,CA,1655781524
Zhigansk,66.7697,123.3711,56.01,31,0,18.63,RU,1655781525
Thompson,55.7435,-97.8558,57.36,82,75,6.91,CA,1655781525
Pevek,69.7008,170.3133,33.85,90,98,3.49,RU,1655781526
Nanortalik,60.1432,-45.2371,37.87,98,100,12.95,GL,1655781527
Bilibino,68.0546,166.4372,41.67,69,100,13.67,RU,1655781527
Dikson,73.5069,80.5464,34.74,97,96,7.43,RU,1655781528
Hambantota,6.1241,81.1185,82.78,72,92,18.48,LK,1655781529
Béja,36.7256,9.1817,71.26,56,0,3.47,TN,1655781530
Fortuna,40.5982,-124.1573,60.91,75,2,1.99,US,1655781530
Ponta do Sol,32.6667,-17.1,66.0,60,38,5.88,PT,1655781531
Qasigiannguit,68.8193,-51.1922,34.05,86,100,8.75,GL,1655781532
Butaritari,3.0707,172.7902,82.69,70,17,13.29,KI,1655781532
Virginia Beach,36.8529,-75.978,71.02,70,40,4.61,US,1655781364
Hobyo,5.3505,48.5268,77.41,79,87,23.13,SO,1655781534
Saint George,37.1041,-113.5841,86.59,4,0,3.44,US,1655781534
Pontes e Lacerda,-15.2261,-59.3353,69.42,75,0,2.28,BR,1655781535
Khor,47.8861,134.9464,64.13,92,100,12.17,RU,1655781536
Crotone,39.0851,17.1178,73.18,57,0,2.24,IT,1655781536
Bāglung,28.2719,83.5898,77.52,64,6,4.29,NP,1655781537
Raglan,-37.8,174.8833,58.44,61,100,6.44,NZ,1655781538
Jamestown,42.097,-79.2353,63.99,78,100,6.91,US,1655781538
Sur,22.5667,59.5289,91.78,50,8,7.63,OM,1655781539
Araouane,18.9048,-3.5265,89.28,33,95,9.89,ML,1655781540
Emerald,-23.5333,148.1667,71.35,52,91,6.51,AU,1655781540
Launceston,-41.45,147.1667,56.61,78,40,10.36,AU,1655781541
Nikolskoye,59.7035,30.7861,55.87,89,94,3.22,RU,1655781542
Ambilobe,-13.2,49.05,62.01,88,5,4.09,MG,1655781543
Cidreira,-30.1811,-50.2056,59.59,79,73,11.5,BR,1655781544
Ternate,0.8,127.4,84.49,68,4,4.61,ID,1655781544
Tarauacá,-8.1614,-70.7656,71.02,76,20,1.19,BR,1655781545
Bella Vista,36.4295,-94.2316,78.04,70,0,5.75,US,1655781546
Xichang,27.8964,102.2634,76.95,77,91,2.95,CN,1655781547
Antakya,36.2066,36.1572,73.22,83,24,10.04,TR,1655781440
Najrān,17.4924,44.1277,77.65,23,99,5.39,SA,1655781548
Agirish,61.9247,63.0231,64.35,73,78,9.35,RU,1655781549
Mataura,-46.1927,168.8643,43.48,70,0,1.32,NZ,1655781550
Katsuura,35.1333,140.3,75.85,84,100,3.76,JP,1655781550
Shalinskoye,55.7228,93.7594,66.54,75,86,2.8,RU,1655781552
Barrow,71.2906,-156.7887,55.42,50,0,10.36,US,1655781508
Sorong,-0.8833,131.25,82.96,71,100,5.1,ID,1655781553
Kingston,17.997,-76.7936,81.55,75,20,12.66,JM,1655781550
Ketchikan,55.3422,-131.6461,55.87,76,100,12.66,US,1655781365
Kapaa,22.0752,-159.319,82.38,80,40,13.8,US,1655781555
Mbigou,-1.9005,11.906,63.21,97,96,2.26,GA,1655781439
Yakeshi,49.2833,120.7333,76.08,36,0,24.76,CN,1655781556
Hilo,19.7297,-155.09,78.28,90,75,4.61,US,1655781557
Whitehorse,60.7161,-135.0538,59.77,40,75,11.5,CA,1655781558
Bonthe,7.5264,-12.505,77.43,85,100,6.24,SL,1655781558
Bara,10.3744,10.7288,76.73,75,75,9.48,NG,1655781559
Lompoc,34.6391,-120.4579,75.34,71,0,8.05,US,1655781560
Port Blair,11.6667,92.75,86.04,74,75,11.5,IN,1655781561
Bredasdorp,-34.5322,20.0403,51.71,93,50,2.35,ZA,1655781562
Thinadhoo,0.5333,72.9333,83.26,70,29,12.12,MV,1655781563
Koumac,-20.5667,164.2833,73.29,58,95,12.75,NC,1655781563
Faanui,-16.4833,-151.75,80.01,77,32,11.74,PF,1655781564
Xam Nua,20.4197,104.0439,84.13,52,78,5.86,LA,1655781565
East London,-33.0153,27.9116,61.74,82,0,6.91,ZA,1655781565
São Filipe,14.8961,-24.4956,73.85,93,44,6.24,CV,1655781566
Deputatsky,69.3,139.9,49.53,31,94,2.64,RU,1655781567
Chui,-33.6971,-53.4616,47.77,80,100,6.22,UY,1655781568
Sitka,57.0531,-135.33,53.49,76,100,8.05,US,1655781569
Forio,40.7342,13.8646,73.13,65,5,4.25,IT,1655781570
Ruska Poliana,49.417,31.9201,62.22,63,0,9.6,UA,1655781571
San Felipe,10.3399,-68.7425,70.29,98,100,0.67,VE,1655781465
Arraial do Cabo,-22.9661,-42.0278,69.76,88,40,9.22,BR,1655781572
Margate,51.3813,1.3862,53.69,91,20,1.01,GB,1655781572
Aklavik,68.2191,-135.0107,54.97,58,100,6.26,CA,1655781573
Lokosovo,61.1333,74.8167,73.92,57,0,13.58,RU,1655781574
Paita,-5.0892,-81.1144,63.99,83,100,14.65,PE,1655781574
Cravo Norte,6.3017,-70.2041,71.26,96,99,2.44,CO,1655781575
Motygino,58.1831,94.7592,71.46,51,100,7.36,RU,1655781576
